Measurement_ID;TimeStamp;Step;Status;ProgTime;StepTime;Cycle;CycleLevel;Procedure_2;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;Channel0270101;Channel0280101;x1;x2;x3
Battery Name;[dd/MM/yyyy HH:mm:ss];[];[];[hh:mm:ss];[hh:mm:ss];[];[];[];[V];[A];[AhCha];[AhDch];[AhStep];[Ah];[Wh];[WhCha];[WhDch];[WhStep];[V1];[V1];;;
Battery Type;14/11/2022 16:06;1;...;00:00:00;00:00:00;0;0;Form_Prototipo;0;0;;;;;;;;;;;15/11/2022 12:44;AhCha;19,999803
Circuit;14/11/2022 16:06;2;INT;00:00:00;00:00:00;0;0;Form_Prototipo;0,176908;0;;;;;;;;;;;;;
Program;14/11/2022 16:06;2;INT;00:00:00;00:00:00;0;0;Form_Prototipo;0,179577;0;0;0;0;0;0;0;0;0;-0,139059;-0,499239;;;
Start Time;14/11/2022 16:11;2;MSG;00:04:52;00:04:51;0;0;Form_Prototipo;CAN-LC Limit Warning Channel 3!;;;;;;;;;;;;;;
End Time;14/11/2022 16:23;2;MSG;00:16:30;00:16:30;0;0;Form_Prototipo;Continue via BTS-host computer!;;;;;;;;;;;;;;
Test section;14/11/2022 16:23;2;INT;00:16:30;00:16:30;0;0;Form_Prototipo;-0,022461;0;0;0;0;0;0;0;0;0;3,152532;-0,297436;;;
Comment;14/11/2022 16:23;2;INT;00:16:30;00:16:30;0;0;Form_Prototipo;-0,022461;0;;;;;;;;;;;;;
OrderNo;14/11/2022 16:23;3;MSG;00:16:30;00:16:30;0;0;Form_Prototipo;CAN-LC Limit Warning Channel 3!;;;;;;;;;;;;;;
Producer;14/11/2022 16:23;3;INT;00:16:30;00:00:00;0;0;Form_Prototipo;-0,02235;0;;;;;;;;;;;;;
Type;14/11/2022 16:23;3;INT;00:16:30;00:00:00;0;0;Form_Prototipo;-0,022461;0;0;0;0;0;0;0;0;0;3,152532;-0,297436;;;
Nominal Voltage;14/11/2022 16:24;3;MSG;00:17:25;00:00:54;0;0;Form_Prototipo;Continue via BTS-host computer!;;;;;;;;;;;;;;
Nominal Current;14/11/2022 16:24;3;INT;00:17:26;00:00:55;0;0;Form_Prototipo;-0,021349;0;0;0;0;0;0;0;0;0;-0,765063;-1,39426;;;
Nominal Capacity;14/11/2022 16:24;3;INT;00:17:26;00:00:55;0;0;Form_Prototipo;-0,021349;0;;;;;;;;;;;;;
